date,year,month_num,month,sunshine_hours
1936-02-01,1936,2,Feb,78.2
1936-03-01,1936,3,Mar,84.5
1936-04-01,1936,4,Apr,150.4
1936-05-01,1936,5,May,182.1
1936-06-01,1936,6,Jun,203.5
1936-07-01,1936,7,Jul,157.4
1936-08-01,1936,8,Aug,178.2
1936-09-01,1936,9,Sep,113.3
1936-10-01,1936,10,Oct,108.4
1936-11-01,1936,11,Nov,50.4
1936-12-01,1936,12,Dec,60.4
1937-01-01,1937,1,Jan,50.7
1937-02-01,1937,2,Feb,67.3
1937-03-01,1937,3,Mar,107.0
1937-04-01,1937,4,Apr,82.8
1937-05-01,1937,5,May,172.0
1937-06-01,1937,6,Jun,189.5
1937-07-01,1937,7,Jul,122.4
1937-08-01,1937,8,Aug,179.1
1937-09-01,1937,9,Sep,151.2
1937-10-01,1937,10,Oct,85.7
1937-11-01,1937,11,Nov,60.5
1937-12-01,1937,12,Dec,28.5
1938-01-01,1938,1,Jan,45.5
1938-02-01,1938,2,Feb,74.6
1938-03-01,1938,3,Mar,170.0
1938-04-01,1938,4,Apr,158.0
1938-05-01,1938,5,May,169.2
1938-06-01,1938,6,Jun,204.3
1938-07-01,1938,7,Jul,170.6
1938-08-01,1938,8,Aug,164.6
1938-09-01,1938,9,Sep,120.6
1938-10-01,1938,10,Oct,124.9
1938-11-01,1938,11,Nov,70.9
1938-12-01,1938,12,Dec,46.7
1939-01-01,1939,1,Jan,48.1
1939-02-01,1939,2,Feb,104.5
1939-03-01,1939,3,Mar,93.7
1939-04-01,1939,4,Apr,170.2
1939-05-01,1939,5,May,195.3
1939-06-01,1939,6,Jun,214.5
1939-07-01,1939,7,Jul,168.6
1939-08-01,1939,8,Aug,170.3
1939-09-01,1939,9,Sep,143.0
1939-10-01,1939,10,Oct,89.2
1939-11-01,1939,11,Nov,40.5
1939-12-01,1939,12,Dec,39.2
1940-01-01,1940,1,Jan,72.2
1940-02-01,1940,2,Feb,27.7
1940-03-01,1940,3,Mar,122.3
1940-04-01,1940,4,Apr,124.4
1940-05-01,1940,5,May,245.2
1940-06-01,1940,6,Jun,263.4
1940-07-01,1940,7,Jul,191.5
1940-08-01,1940,8,Aug,181.8
1940-09-01,1940,9,Sep,167.9
1940-10-01,1940,10,Oct,104.0
1940-11-01,1940,11,Nov,78.2
1940-12-01,1940,12,Dec,36.4
1941-01-01,1941,1,Jan,30.8
