Entity,Code,Year,Rape or colza seed - Production (tonnes),production_1974_tonnes,pct_difference_from_1974,pct_change_yoy
Norway,NOR,1995,17120.0,6700.0,155.52238805970148,30.3784936410022
Norway,NOR,1996,12200.0,6700.0,82.08955223880598,-28.738317757009348
Norway,NOR,1997,11870.0,6700.0,77.16417910447761,-2.704918032786885
Norway,NOR,1998,9820.0,6700.0,46.56716417910447,-17.270429654591403
Norway,NOR,1999,10380.0,6700.0,54.92537313432836,5.702647657841142
Norway,NOR,2000,9080.0,6700.0,35.52238805970149,-12.524084778420042
Norway,NOR,2001,19280.0,6700.0,187.7611940298508,112.33480176211457
Norway,NOR,2002,17845.0,6700.0,166.34328358208955,-7.442946058091282
Norway,NOR,2003,11320.0,6700.0,68.95522388059702,-36.564864107593166
Norway,NOR,2004,12300.0,6700.0,83.5820895522388,8.657243816254411
Norway,NOR,2005,11230.0,6700.0,67.61194029850746,-8.699186991869922
Norway,NOR,2006,9550.0,6700.0,42.53731343283582,-14.95992876224399
Norway,NOR,2007,9010.0,6700.0,34.47761194029851,-5.6544502617801085
Norway,NOR,2008,9800.0,6700.0,46.26865671641791,8.76803551609322
Norway,NOR,2009,6860.0,6700.0,2.388059701492537,-30.000000000000004
Norway,NOR,2010,10200.0,6700.0,52.23880597014925,48.68804664723032
Norway,NOR,2011,8610.0,6700.0,28.50746268656717,-15.588235294117649
Norway,NOR,2012,11335.0,6700.0,69.17910447761194,31.649245063879206
Norway,NOR,2013,6040.0,6700.0,-9.850746268656716,-46.71371857079841
Norway,NOR,2014,9700.0,6700.0,44.776119402985074,60.59602649006624
Norway,NOR,2015,10400.0,6700.0,55.223880597014926,7.216494845360821
Norway,NOR,2016,11450.0,6700.0,70.8955223880597,10.096153846153854
Norway,NOR,2017,10300.0,6700.0,53.73134328358209,-10.043668122270743
Norway,NOR,2018,7250.0,6700.0,8.208955223880597,-29.61165048543689
Norway,NOR,2019,15000.0,6700.0,123.88059701492536,106.89655172413796
Norway,NOR,2020,7180.0,6700.0,7.164179104477612,-52.13333333333333
Norway,NOR,2021,9000.0,6700.0,34.32835820895522,25.348189415041777
Norway,NOR,2022,9500.0,6700.0,41.7910447761194,5.555555555555558
Norway,NOR,2023,5000.0,6700.0,-25.37313432835821,-47.36842105263158
Norway,NOR,2024,6000.0,6700.0,-10.44776119402985,20.0
Poland,POL,1974,523000.0,523000.0,0.0,
Poland,POL,1975,726235.0,523000.0,38.859464627151056,38.85946462715104
Poland,POL,1976,979835.0,523000.0,87.348948374761,34.91982622704772
Poland,POL,1977,707991.0,523000.0,35.37112810707457,-27.74385483270142
Poland,POL,1978,691242.0,523000.0,32.16864244741874,-2.365708038661507
Poland,POL,1979,234221.0,523000.0,-55.21586998087954,-66.11591888224385
Poland,POL,1980,572232.0,523000.0,9.41338432122371,144.31284982986153
Poland,POL,1981,495377.0,523000.0,-5.281644359464628,-13.430741377623058
Poland,POL,1982,433531.0,523000.0,-17.106883365200765,-12.484632915940786
Poland,POL,1983,555440.0,523000.0,6.202676864244742,28.12001909898023
Poland,POL,1984,910634.0,523000.0,74.11739961759082,63.94822123001585
Poland,POL,1985,1072503.0,523000.0,105.06749521988527,17.775418005477505
Poland,POL,1986,1298190.0,523000.0,148.21988527724665,21.04301806148794
Poland,POL,1987,1186096.0,523000.0,126.7869980879541,-8.634637456766725
Poland,POL,1988,1199333.0,523000.0,129.31797323135757,1.1160142180734134
Poland,POL,1989,1585810.0,523000.0,203.2141491395793,32.224328022325736
Poland,POL,1990,1206035.0,523000.0,130.59942638623326,-23.94832924499152
Poland,POL,1991,1042744.0,523000.0,99.3774378585086,-13.53949097663003
Poland,POL,1992,758188.0,523000.0,44.96902485659656,-27.289152466952583
Poland,POL,1993,594428.0,523000.0,13.65736137667304,-21.59886466153513
Poland,POL,1994,755695.0,523000.0,44.4923518164436,27.129778543406434
Poland,POL,1995,1376599.0,523000.0,163.21204588910135,82.16330662502729
Poland,POL,1996,449305.0,523000.0,-14.090822179732312,-67.36122865119036
Poland,POL,1997,594899.0,523000.0,13.747418738049712,32.40426881517009
Poland,POL,1998,1099084.0,523000.0,110.14990439770555,84.75136115542301
Poland,POL,1999,1131867.0,523000.0,116.41816443594648,2.982756549999821
Poland,POL,2000,958145.0,523000.0,83.20172084130019,-15.348269717201756
Poland,POL,2001,1063638.0,523000.0,103.37246653919694,11.010128947080045
Poland,POL,2002,952737.0,523000.0,82.16768642447418,-10.42657370270712
Poland,POL,2003,792971.0,523000.0,51.61969407265774,-16.769160849216526
Poland,POL,2004,1632919.0,523000.0,212.22160611854684,105.92417629396284
Poland,POL,2005,1449756.0,523000.0,177.2,-11.216906656117054
Poland,POL,2006,1651525.0,523000.0,215.7791586998088,13.917445418401432
Poland,POL,2007,2129873.0,523000.0,307.2414913957935,28.964018104479194
Poland,POL,2008,2105840.0,523000.0,302.64627151051627,-1.128377137979586
Poland,POL,2009,2496825.0,523000.0,377.4043977055449,18.56670022413858
Poland,POL,2010,2228676.0,523000.0,326.1330783938814,-10.7395992910997
Poland,POL,2011,1861807.0,523000.0,255.9860420650096,-16.461298098063605
Poland,POL,2012,1865598.0,523000.0,256.71089866156785,0.2036193869719094
Poland,POL,2013,2677665.0,523000.0,411.9818355640536,43.52850935732136
Poland,POL,2014,3275806.0,523000.0,526.34913957935,22.3381565655151
Poland,POL,2015,2700776.0,523000.0,416.4007648183557,-17.553847816384728
Poland,POL,2016,2219270.0,523000.0,324.33460803059273,-17.828431532270727
Poland,POL,2017,2697265.0,523000.0,415.7294455066921,21.53838874945364
Poland,POL,2018,2105610.0,523000.0,302.6022944550669,-21.93536786337271
Poland,POL,2019,2268850.0,523000.0,333.81453154875715,7.752622755401051
Poland,POL,2020,2982880.0,523000.0,470.34034416826006,31.471009542279127
Poland,POL,2021,3050910.0,523000.0,483.34799235181646,2.280681757227909
Poland,POL,2022,3487070.0,523000.0,566.7437858508604,14.296062486274597
Poland,POL,2023,3575100.0,523000.0,583.5755258126195,2.524468966783
Poland,POL,2024,3124180.0,523000.0,497.3575525812619,-12.612794047718944
Romania,ROU,1974,13300.0,13300.0,0.0,
Romania,ROU,1975,17300.0,13300.0,30.07518796992481,30.07518796992481
Romania,ROU,1976,10900.0,13300.0,-18.045112781954884,-36.9942196531792
Romania,ROU,1977,5700.0,13300.0,-57.14285714285714,-47.70642201834863
Romania,ROU,1978,11100.0,13300.0,-16.541353383458645,94.73684210526316
Romania,ROU,1979,11200.0,13300.0,-15.789473684210526,0.9009009009008916
Romania,ROU,1980,18900.0,13300.0,42.10526315789473,68.75
Romania,ROU,1981,14200.0,13300.0,6.7669172932330826,-24.86772486772487
Romania,ROU,1982,12700.0,13300.0,-4.511278195488721,-10.563380281690138
Romania,ROU,1983,21900.0,13300.0,64.66165413533834,72.44094488188976
Romania,ROU,1984,56500.0,13300.0,324.812030075188,157.99086757990867
Romania,ROU,1985,35000.0,13300.0,163.1578947368421,-38.05309734513275
Romania,ROU,1986,13300.0,13300.0,0.0,-62.0
Romania,ROU,1987,7700.0,13300.0,-42.10526315789473,-42.10526315789473
Romania,ROU,1988,12500.0,13300.0,-6.015037593984962,62.33766233766234
Romania,ROU,1989,18000.0,13300.0,35.338345864661655,43.99999999999999
Romania,ROU,1990,10900.0,13300.0,-18.045112781954884,-39.44444444444445
Romania,ROU,1991,8764.0,13300.0,-34.10526315789474,-19.59633027522936
Romania,ROU,1992,1372.0,13300.0,-89.6842105263158,-84.34504792332268
Romania,ROU,1993,1355.0,13300.0,-89.81203007518796,-1.2390670553935834
Romania,ROU,1994,322.0,13300.0,-97.57894736842104,-76.23616236162361
Romania,ROU,1995,357.0,13300.0,-97.3157894736842,10.869565217391308
Romania,ROU,1996,1867.0,13300.0,-85.9624060150376,422.96918767507
